Training Loss
Epoch | Eb/N0 (dB) | Loss
------------------------------
1 | -10.00 | 1.1390
1 | -5.00 | 11.6128
1 | 0.00 | 5.7315
1 | 5.00 | 4.6752
1 | 10.00 | 2.8914
2 | -10.00 | 2.4057
2 | -5.00 | 2.6115
2 | 0.00 | 1.1744
2 | 5.00 | 1.6155
2 | 10.00 | 1.6505
3 | -10.00 | 1.3229
3 | -5.00 | 0.9065
3 | 0.00 | 1.6841
3 | 5.00 | 1.7171
3 | 10.00 | 1.0730
4 | -10.00 | 1.5312
4 | -5.00 | 1.8579
4 | 0.00 | 1.5073
4 | 5.00 | 0.8622
4 | 10.00 | 0.8144
5 | -10.00 | 0.8920
5 | -5.00 | 1.0093
5 | 0.00 | 0.9130
5 | 5.00 | 0.7560
5 | 10.00 | 0.7112
6 | -10.00 | 0.8779
6 | -5.00 | 0.8937
6 | 0.00 | 0.8592
6 | 5.00 | 0.7742
6 | 10.00 | 0.7006
7 | -10.00 | 0.7519
7 | -5.00 | 0.7766
7 | 0.00 | 0.7829
7 | 5.00 | 0.7650
7 | 10.00 | 0.7297
8 | -10.00 | 0.7162
8 | -5.00 | 0.7109
8 | 0.00 | 0.7386
8 | 5.00 | 0.7598
8 | 10.00 | 0.7398
9 | -10.00 | 0.7388
9 | -5.00 | 0.7251
9 | 0.00 | 0.7027
9 | 5.00 | 0.7169
9 | 10.00 | 0.7381
10 | -10.00 | 0.7215
10 | -5.00 | 0.7080
10 | 0.00 | 0.7054
10 | 5.00 | 0.7016
10 | 10.00 | 0.6996
